"","office","description","city","zip","state","parish","candidate","party","level","type","genoffice","race","gender"
"2685","Constable","Justice of the Peace District 1","Jena","71342","LA","LASALLE","Leroy Westbrooks","Republican","Local","Law Enforcement","Constable","White","Male"
"2686","Constable","Justice of the Peace District 2","Olla","71465","LA","LASALLE","Sammy Chisolm","Other","Local","Law Enforcement","Constable","White","Male"
"2687","Constable","Justice of the Peace District 3","Trout","71371","LA","LASALLE","Larry Chapman","Republican","Local","Law Enforcement","Constable","White","Male"
"2688","Constable","Justice of the Peace District 4","Jena","71342","LA","LASALLE","Ron Carr","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2689","Constable","Justice of the Peace District 5","Jena","71342","LA","LASALLE","Bren Warwick","Republican","Local","Law Enforcement","Constable","White","Male"
"2690","Constable","Justice of the Peace Ward 2","Grambling","71245","LA","LINCOLN","Larry Jones","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2691","Constable","Justice of the Peace Ward 3","Simsboro","71275","LA","LINCOLN","David Kent","Democrat","Local","Law Enforcement","Constable","White","Male"
"2692","Constable","Justice of the Peace Ward 4","Dubach","71235","LA","LINCOLN",NA,NA,"Local","Law Enforcement","Constable",NA,NA
"2693","Constable","Justice of the Peace Ward 5","Ruston","71270","LA","LINCOLN","Don McDonald","Republican","Local","Law Enforcement","Constable","White","Male"
"2694","Constable","Justice of the Peace Ward  1","Denham Springs","70706","LA","LIVINGSTON","Robert Everett","Republican","Local","Law Enforcement","Constable","White","Male"
"2695","Constable","Justice of the Peace Ward  3","Livingston","70754","LA","LIVINGSTON","Matthew W. Watts","Democrat","Local","Law Enforcement","Constable","White","Male"
"2696","Constable","Justice of the Peace Ward  4","Albany","70711","LA","LIVINGSTON","Bruce Bennett","Democrat","Local","Law Enforcement","Constable","White","Male"
"2697","Constable","Justice of the Peace Ward  5","Maurepas","70449","LA","LIVINGSTON","Travis Vernon","Other","Local","Law Enforcement","Constable","White","Male"
"2698","Constable","Justice of the Peace Ward  6","Springfield","70462","LA","LIVINGSTON","Glenn Hoover","Democrat","Local","Law Enforcement","Constable","White","Male"
"2699","Constable","Justice of the Peace Ward  7","Denham Springs","70726","LA","LIVINGSTON","Donna Renee McComas",NA,"Local","Law Enforcement","Constable",NA,NA
"2700","Constable","Justice of the Peace Ward  8","Holden","70744","LA","LIVINGSTON","James Alford","Republican","Local","Law Enforcement","Constable","White","Male"
"2701","Constable","Justice of the Peace Ward  9","Holden","70744","LA","LIVINGSTON","LeRoy Owens","Republican","Local","Law Enforcement","Constable","White","Male"
"2702","Constable","Justice of the Peace Ward 10","Springfield","70462","LA","LIVINGSTON","Kathleen Abels","Democrat","Local","Law Enforcement","Constable","White","Female"
"2703","Constable","Justice of the Peace Ward 11","Walker","70785","LA","LIVINGSTON","Bobby Smith","Republican","Local","Law Enforcement","Constable","White","Male"
"2704","Constable","Justice of the Peace District  2","Tallulah","71282","LA","MADISON","Cheryl Winstead",NA,"Local","Law Enforcement","Constable",NA,NA
"2705","Constable","Justice of the Peace Districts 1 & 3","Tallulah","71282","LA","MADISON","Charles Roberson, Jr.","Republican","Local","Law Enforcement","Constable","White","Male"
"2706","Constable","Justice of the Peace Districts 4, 5 & 6","Tallulah","71284","LA","MADISON","Beverly Whitney-Cooper",NA,"Local","Law Enforcement","Constable",NA,NA
"2707","Constable","Justice of the Peace Districts 7 & 8","Tallulah","71282","LA","MADISON","Gene Cox","Republican","Local","Law Enforcement","Constable","White","Male"
"2708","Constable","Justice of the Peace Ward  1","Bastrop","71220","LA","MOREHOUSE","David Laing","Other","Local","Law Enforcement","Constable","White","Male"
"2709","Constable","Justice of the Peace Ward  2","Bastrop","71220","LA","MOREHOUSE","Johnny Naff","Other","Local","Law Enforcement","Constable","White","Male"
"2710","Constable","Justice of the Peace Ward  5","Oak Ridge","71264","LA","MOREHOUSE","Varhonda Burrell","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2711","Constable","Justice of the Peace Ward  6","Mer Rouge","71261","LA","MOREHOUSE","David Thomas","Other","Local","Law Enforcement","Constable","White","Male"
"2712","Constable","Justice of the Peace Ward  7","Bastrop","71220","LA","MOREHOUSE","Jonathan Larkin White","Other","Local","Law Enforcement","Constable","White","Male"
"2713","Constable","Justice of the Peace Ward  8","Collinston","71229","LA","MOREHOUSE","Roosevelt Richardson","Other","Local","Law Enforcement","Constable","Black or African American","Male"
"2714","Constable","Justice of the Peace Ward  9","Bastrop","71220","LA","MOREHOUSE","Donna J. Atkins","Other","Local","Law Enforcement","Constable","White","Female"
"2715","Constable","Justice of the Peace Ward 10","Jones","71250","LA","MOREHOUSE","Derl Johnson","Democrat","Local","Law Enforcement","Constable","White","Male"
"2716","Constable","Justice of the Peace Ward  2","Campti","71411-4361","LA","NATCHITOCHES","Monty Trichel","Democrat","Local","Law Enforcement","Constable","White","Male"
"2717","Constable","Justice of the Peace Ward  3","Robeline","71469","LA","NATCHITOCHES","Tommy O'Con","Democrat","Local","Law Enforcement","Constable","White","Male"
"2718","Constable","Justice of the Peace Ward  4","Cloutierville","71416","LA","NATCHITOCHES","Elmer ""Bobby"" Carter","Democrat","Local","Law Enforcement","Constable","White","Male"
"2719","Constable","Justice of the Peace Ward 1","Sterlington","71280","LA","OUACHITA","Robert P. Holtzclaw, Jr.","Republican","Local","Law Enforcement","Constable","White","Male"
"2720","Constable","Justice of the Peace Ward 2","Monroe","71203","LA","OUACHITA","""Ronnie"" Allen","Republican","Local","Law Enforcement","Constable","White","Male"
"2721","Constable","Justice of the Peace Ward 6","Calhoun","71225","LA","OUACHITA","Danny Bryant","Other","Local","Law Enforcement","Constable","White","Male"
"2722","Constable","Justice of the Peace Ward 7","West Monroe","71292","LA","OUACHITA","Lynell Auttonberry","Other","Local","Law Enforcement","Constable","White","Male"
"2723","Constable","Justice of the Peace Ward 8","West Monroe","71292","LA","OUACHITA","Mark Owens","Republican","Local","Law Enforcement","Constable","White","Male"
"2724","Constable","Justice of the Peace Ward 9","West Monroe","71292","LA","OUACHITA","""Benji"" Owens","Republican","Local","Law Enforcement","Constable","White","Male"
"2725","Constable","Justice of the Peace Ward  1","Braithwaite","70040","LA","PLAQUEMINES","Eugene J. White","Democrat","Local","Law Enforcement","Constable","White","Male"
"2726","Constable","Justice of the Peace Ward  2","Braithwaite","70040","LA","PLAQUEMINES","Hilry Thomas","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2727","Constable","Justice of the Peace Ward  3","Pointe-a-la-Haiche","70082","LA","PLAQUEMINES","Byron L. Encalade","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2728","Constable","Justice of the Peace Ward  4","Belle Chasse","70037","LA","PLAQUEMINES","Charles ""Chuck"" Gerkin, Sr.","Democrat","Local","Law Enforcement","Constable","White","Male"
"2729","Constable","Justice of the Peace Ward  5","Boothville","70038","LA","PLAQUEMINES","Bobbie Nell Gaubert-Holland","Democrat","Local","Law Enforcement","Constable","White","Female"
"2730","Constable","Justice of the Peace Ward  6","Belle Chasse","70037","LA","PLAQUEMINES","Debra ""Debbie"" Naquin","Republican","Local","Law Enforcement","Constable","White","Female"
"2731","Constable","Justice of the Peace Ward  7","Belle Chasse","70037","LA","PLAQUEMINES","Paul Barrois","Republican","Local","Law Enforcement","Constable","White","Male"
"2732","Constable","Justice of the Peace Ward  8","Port Sulphur","70083","LA","PLAQUEMINES","Andria ""Pal"" Barthelemy","Democrat","Local","Law Enforcement","Constable","Other","Female"
"2733","Constable","Justice of the Peace Ward  9","Port Sulphur","70083","LA","PLAQUEMINES","Alexis Billiot","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2734","Constable","Justice of the Peace Ward 10","Buras","70041","LA","PLAQUEMINES","Martha Sue Callais Cook","Democrat","Local","Law Enforcement","Constable","White","Female"
"2735","Constable","Justice of the Peace District  1","Lettsworth","70753","LA","POINTE COUPEE","Carolyn H. Wells","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2736","Constable","Justice of the Peace District  2","Batchelor","70715","LA","POINTE COUPEE","Robert Dunham","Republican","Local","Law Enforcement","Constable","White","Male"
"2737","Constable","Justice of the Peace District  3","New Roads","70760","LA","POINTE COUPEE","Michael ""Mike"" Porche","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2738","Constable","Justice of the Peace District  4","Jarreau","70749","LA","POINTE COUPEE","Kurt J. Pourciau","Democrat","Local","Law Enforcement","Constable","White","Male"
"2739","Constable","Justice of the Peace District  5","Ventress","70783","LA","POINTE COUPEE","Steve Stelly","Other","Local","Law Enforcement","Constable","White","Male"
"2740","Constable","Justice of the Peace District  6","Lakeland","70752","LA","POINTE COUPEE","Elliott ""Big E"" Bizzette, Jr.","Democrat","Local","Law Enforcement","Constable","White","Male"
"2741","Constable","Justice of the Peace District  7","New Roads","70760","LA","POINTE COUPEE","Gloria J. Facione","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2742","Constable","Justice of the Peace District  8","New Roads","70760","LA","POINTE COUPEE","Elie J. Part, Jr.","Democrat","Local","Law Enforcement","Constable","White","Male"
"2743","Constable","Justice of the Peace District  9","Livonia","70755","LA","POINTE COUPEE","Ronald A. ""Ron"" Pourciau","Democrat","Local","Law Enforcement","Constable","White","Male"
"2744","Constable","Justice of the Peace District 10","Livonia","70755","LA","POINTE COUPEE","Christopher ""Scotty"" LeJeune","Other","Local","Law Enforcement","Constable","White","Male"
"2745","Constable","Justice of the Peace District 11","Fordoche","70732","LA","POINTE COUPEE","Shane A. Pickett","Democrat","Local","Law Enforcement","Constable","White","Male"
"2746","Constable","Justice of the Peace District 12","New Roads","70760","LA","POINTE COUPEE","Roger D. Dixon","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2747","Constable","Justice of the Peace Ward  2","Woodworth","71485","LA","RAPIDES","Charles Butler","Democrat","Local","Law Enforcement","Constable","White","Male"
"2748","Constable","Justice of the Peace Ward  3, 1st Just. Court","Cheneyville","71325","LA","RAPIDES","Edward Beaver, III","Republican","Local","Law Enforcement","Constable","White","Male"
"2749","Constable","Justice of the Peace Ward  3, 2nd Just. Court","Lecompte","71346","LA","RAPIDES","Frank Spears","Democrat","Local","Law Enforcement","Constable","White","Male"
"2750","Constable","Justice of the Peace Ward  4, 1st Just. Court","Forest Hill","71430","LA","RAPIDES","""Rob"" Hewitt","Democrat","Local","Law Enforcement","Constable","White","Male"
"2751","Constable","Justice of the Peace Ward  4, 2nd Just. Court","Glenmore","71433","LA","RAPIDES","Matt A. Martin, III","Democrat","Local","Law Enforcement","Constable","White","Male"
"2752","Constable","Justice of the Peace Ward  5, 1st Just. Court","Sieper","71472","LA","RAPIDES","Audrey George",NA,"Local","Law Enforcement","Constable",NA,NA
"2753","Constable","Justice of the Peace Ward  5, 2nd Just. Court","Elmer","71424","LA","RAPIDES","Russell Miller","Democrat","Local","Law Enforcement","Constable","White","Male"
"2754","Constable","Justice of the Peace Ward  6","Pitkin","70656","LA","RAPIDES","""L. C."" Coker","Democrat","Local","Law Enforcement","Constable","White","Male"
"2755","Constable","Justice of the Peace Ward  7, 1st Just. Court","Lena","71447","LA","RAPIDES","Robert Beebe","Democrat","Local","Law Enforcement","Constable","White","Male"
"2756","Constable","Justice of the Peace Ward  7, 2nd Just. Crt.","Lena","71447","LA","RAPIDES","Jason Beebe","Other","Local","Law Enforcement","Constable","White","Male"
"2757","Constable","Justice of the Peace Ward  8","Alexandria","71303","LA","RAPIDES","Vernon Mathews","Democrat","Local","Law Enforcement","Constable","White","Male"
"2758","Constable","Justice of the Peace Ward 10","Ball","71405","LA","RAPIDES","James Deslatte","Democrat","Local","Law Enforcement","Constable","White","Male"
"2759","Constable","Justice of the Peace Ward 11","Deville","71328","LA","RAPIDES","Tommy Joe Deville","Democrat","Local","Law Enforcement","Constable","White","Male"
"2760","Constable","Justice of the Peace District A","Coushatta","71019","LA","RED RIVER","Earl Webb, Jr.","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2761","Constable","Justice of the Peace District B","Coushatta","71019","LA","RED RIVER","Randy Thomas, Sr.","Other","Local","Law Enforcement","Constable","White","Male"
"2762","Constable","Justice of the Peace District C","Coushatta","71019","LA","RED RIVER","Wanda Moore",NA,"Local","Law Enforcement","Constable",NA,NA
"2763","Constable","Justice of the Peace Ward 1","Delhi","71232","LA","RICHLAND","Linda McKinney","Republican","Local","Law Enforcement","Constable","White","Female"
"2764","Constable","Justice of the Peace Ward 2","Rayville","71269","LA","RICHLAND","Leo Lyle","Republican","Local","Law Enforcement","Constable","White","Male"
"2765","Constable","Justice of the Peace Ward 3","Rayville","71269","LA","RICHLAND","Jonathan Crow","Republican","Local","Law Enforcement","Constable","White","Male"
"2766","Constable","Justice of the Peace Ward 4","Archibald","71218","LA","RICHLAND","Terry L. Gwin","Republican","Local","Law Enforcement","Constable","White","Male"
"2767","Constable","Justice of the Peace Ward 5","Mangham","71259","LA","RICHLAND","Jeff Boughton",NA,"Local","Law Enforcement","Constable",NA,NA
"2768","Constable","Justice of the Peace Wards 6 & 7","Columbia","71418","LA","RICHLAND","Donald Oliveaux","Republican","Local","Law Enforcement","Constable","White","Male"
"2769","Constable","Justice of the Peace & Constable District 1","Florien","71429","LA","SABINE","Doyle W. Barron","Democrat","Local","Law Enforcement","Constable","White","Male"
"2770","Constable","Justice of the Peace & Constable District 2","Many","71449","LA","SABINE","Jerry R. Singletary","Republican","Local","Law Enforcement","Constable","White","Male"
"2771","Constable","Justice of the Peace & Constable District 3","Zwolle","71486","LA","SABINE","Kurt D. Sepulvado","Other","Local","Law Enforcement","Constable","Other","Male"
"2772","Constable","Justice of the Peace & Constable District 4","Noble","71462","LA","SABINE","Harvey L. Nichols","Other","Local","Law Enforcement","Constable","White","Male"
"2773","Constable","Justice of the Peace & Constable District 5","Pleasant Hill","71065","LA","SABINE","Floyd Terrell, Jr.","Republican","Local","Law Enforcement","Constable","White","Male"
"2774","Constable","Justice of the Peace Ward A","Arabi","70032","LA","ST. BERNARD","Mitchell Perkins","Democrat","Local","Law Enforcement","Constable","White","Male"
"2775","Constable","Justice of the Peace Ward B","Arabi","70032","LA","ST. BERNARD","Anthony ""Tony"" LaNasa, III","Republican","Local","Law Enforcement","Constable","White","Male"
"2776","Constable","Justice of the Peace Ward C","Chalmette","70043","LA","ST. BERNARD","""Beau"" Bowman","Republican","Local","Law Enforcement","Constable","White","Male"
"2777","Constable","Justice of the Peace Ward D","Chalmette","70043","LA","ST. BERNARD","William F. ""Billy"" Cure","Democrat","Local","Law Enforcement","Constable","White","Male"
"2778","Constable","Justice of the Peace Ward E","Chalmette","70043","LA","ST. BERNARD","Henry Maitre, III","Republican","Local","Law Enforcement","Constable","White","Male"
"2779","Constable","Justice of the Peace Ward F","Chalmette","70043","LA","ST. BERNARD","Hillary Tinney Miller","Other","Local","Law Enforcement","Constable","White","Female"
"2780","Constable","Justice of the Peace Ward G","Chalmette","70043","LA","ST. BERNARD","Brian Reaney","Republican","Local","Law Enforcement","Constable","White","Male"
"2781","Constable","Justice of the Peace Ward H","Chalmette","70043","LA","ST. BERNARD","Craig Miller","Other","Local","Law Enforcement","Constable","White","Male"
"2782","Constable","Justice of the Peace Ward I","Meraux","70075","LA","ST. BERNARD","John N. Green","Republican","Local","Law Enforcement","Constable","White","Male"
"2783","Constable","Justice of the Peace Ward J","Violet","70092","LA","ST. BERNARD","Benjamin P. ""Benny"" Ruiz","Democrat","Local","Law Enforcement","Constable","White","Male"
"2784","Constable","Justice of the Peace Ward K","St. Bernard","70085","LA","ST. BERNARD","Anthony ""Tony"" Guerra, III","Democrat","Local","Law Enforcement","Constable","White","Male"
"2785","Constable","Justice of the Peace District 1","Hahnville","70057","LA","ST. CHARLES","Rose P. Legaux","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2786","Constable","Justice of the Peace District 2","Luling","70070","LA","ST. CHARLES","Kenny ""Gatorman"" Schmill","Other","Local","Law Enforcement","Constable","White","Male"
"2787","Constable","Justice of the Peace District 3","Destrehan","70047","LA","ST. CHARLES","""Gil"" Schmidt","Republican","Local","Law Enforcement","Constable","White","Male"
"2788","Constable","Justice of the Peace District 4","Paradis","70080","LA","ST. CHARLES","Donnie White","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2789","Constable","Justice of the Peace District 5","St. Rose","70087","LA","ST. CHARLES","Stephen G. Black","Democrat","Local","Law Enforcement","Constable","White","Male"
"2790","Constable","Justice of the Peace District 6","Norco","70079","LA","ST. CHARLES","Jerry J. Pfister, Jr.","Democrat","Local","Law Enforcement","Constable","White","Male"
"2791","Constable","Justice of the Peace District 7","Luling","70070","LA","ST. CHARLES","Gary Cazenave","Republican","Local","Law Enforcement","Constable","White","Male"
"2792","Constable","Justice of the Peace Ward 1","Greensburg","70441","LA","ST. HELENA","Wendell S. Day","Democrat","Local","Law Enforcement","Constable","White","Male"
"2793","Constable","Justice of the Peace Ward 2","Greensburg","70441","LA","ST. HELENA","Kermit L. Brown","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2794","Constable","Justice of the Peace Ward 3","Greensburg","70441","LA","ST. HELENA","Iola ""Tiny"" Martin","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2795","Constable","Justice of the Peace Ward 4","Denham Springs","70726","LA","ST. HELENA","Dennis Lee, Jr.","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2796","Constable","Justice of the Peace Ward 5","Amite","70422","LA","ST. HELENA","Raymond ""D-Man"" Baker","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2797","Constable","Justice of the Peace Ward 6","Kentwood","70444","LA","ST. HELENA","Paul B. Alford, Sr.","Democrat","Local","Law Enforcement","Constable","White","Male"
"2798","Constable","Justice of the Peace District 1","Gramercy","70052","LA","ST. JAMES","Kerry ""Doc"" Walker","Democrat","Local","Law Enforcement","Constable","White","Male"
"2799","Constable","Justice of the Peace District 2","Lutcher","70071","LA","ST. JAMES","Arthur M. ""Coach"" Harper","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2800","Constable","Justice of the Peace District 3","Paulina","70763","LA","ST. JAMES","Steven ""Buggy"" LeMoine","Republican","Local","Law Enforcement","Constable","White","Male"
"2801","Constable","Justice of the Peace District 4","Convent","70723","LA","ST. JAMES","Johnnie Shorty","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2802","Constable","Justice of the Peace District 5","St. James","70086","LA","ST. JAMES","Sylvester J. ""Syl"" Winchester","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2803","Constable","Justice of the Peace District 6","Vacherie","70090","LA","ST. JAMES","Vanessa James","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2804","Constable","Justice of the Peace District 7","Vacherie","70090","LA","ST. JAMES","""Brad"" Steib","Republican","Local","Law Enforcement","Constable","White","Male"
"2805","Constable","Justice of the Peace District  1","Edgard","70049","LA","ST. JOHN THE BAPTIST","Chyral August","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2806","Constable","Justice of the Peace District  2","Garyville","70051","LA","ST. JOHN THE BAPTIST","Barry Ellis","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2807","Constable","Justice of the Peace District  3","Reserve","70084","LA","ST. JOHN THE BAPTIST","Anatole ""Touie"" Jacob","Democrat","Local","Law Enforcement","Constable","White","Male"
"2808","Constable","Justice of the Peace District  4","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Russel Landeche","Republican","Local","Law Enforcement","Constable","White","Male"
"2809","Constable","Justice of the Peace District  5","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Robert ""Bobby"" Brady","Democrat","Local","Law Enforcement","Constable","White","Male"
"2810","Constable","Justice of the Peace District  6","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Don D. Detillier","Democrat","Local","Law Enforcement","Constable","White","Male"
"2811","Constable","Justice of the Peace District  7","LaPlace","70068","LA","ST. JOHN THE BAPTIST","Keith M. ""Mike"" Bourgeois","Democrat","Local","Law Enforcement","Constable","White","Male"
"2812","Constable","Justice of the Peace District  4","Sunset","70584","LA","ST. LANDRY","Ronald Dugas","Democrat","Local","Law Enforcement","Constable","White","Male"
"2813","Constable","Justice of the Peace District  5","Church Point","70525","LA","ST. LANDRY","Ricky Comeaux","Democrat","Local","Law Enforcement","Constable","White","Male"
"2814","Constable","Justice of the Peace District  7","Melville","71353","LA","ST. LANDRY","Todd Guillot","Republican","Local","Law Enforcement","Constable","White","Male"
"2815","Constable","Justice of the Peace District  8","Port Barre","70577","LA","ST. LANDRY","Leon Boudreaux",NA,"Local","Law Enforcement","Constable",NA,NA
"2816","Constable","Justice of the Peace District  9","Palmetto","71358","LA","ST. LANDRY","John Russell Dumes","Other","Local","Law Enforcement","Constable","Black or African American","Male"
"2817","Constable","Justice of the Peace District 10","Bunkie","71322","LA","ST. LANDRY","David L. Richard","Democrat","Local","Law Enforcement","Constable","White","Male"
"2818","Constable","Justice of the Peace District 12","Bunkie","71322","LA","ST. LANDRY","Joyce Stagg Whaley","Republican","Local","Law Enforcement","Constable","White","Female"
"2819","Constable","Justice of the Peace District 13","Washington","70589","LA","ST. LANDRY","Larry Ortego","Republican","Local","Law Enforcement","Constable","White","Male"
"2820","Constable","Justice of the Peace District 18","Lawtell","70550","LA","ST. LANDRY","Eddie ""Chalk"" Thibodeaux","Other","Local","Law Enforcement","Constable","White","Male"
"2821","Constable","Justice of the Peace District 19","Church Point","70525","LA","ST. LANDRY","Watson Champagne","Other","Local","Law Enforcement","Constable","White","Male"
"2822","Constable(s)","Justice of the Peace District  6","Arnaudville","70512","LA","ST. LANDRY","Judy D. Meche","Democrat","Local","Law Enforcement","Constable","White","Female"
"2823","Constable(s)","Justice of the Peace District  6","Arnaudville","70512","LA","ST. LANDRY","Leo Meche","Democrat","Local","Law Enforcement","Constable","White","Male"
"2824","Constable(s)","Justice of the Peace District 11","Washington","70589","LA","ST. LANDRY","Eve E. ""Bubba"" Malveaux","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2825","Constable(s)","Justice of the Peace District 11","Washington","70589","LA","ST. LANDRY","Larry L. Primeaux","Other","Local","Law Enforcement","Constable","White","Male"
"2826","Constable","Justice of the Peace Ward  1","St. Martinville","70582","LA","ST. MARTIN","Alvin ""Al"" Cormier","Democrat","Local","Law Enforcement","Constable","White","Male"
"2827","Constable","Justice of the Peace Ward  2","St. Martinville","70582","LA","ST. MARTIN","Leander ""Cush"" Williams","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2828","Constable","Justice of the Peace Ward  3","St. Martinville","70582","LA","ST. MARTIN","David R. Dugas","Other","Local","Law Enforcement","Constable","White","Male"
"2829","Constable","Justice of the Peace Ward  5","Breaux Bridge","70517","LA","ST. MARTIN","Toby James Legrand, Sr.",NA,"Local","Law Enforcement","Constable",NA,NA
"2830","Constable","Justice of the Peace Ward  6","Morgan City","70380","LA","ST. MARTIN","Wendie G. Hotard","Democrat","Local","Law Enforcement","Constable","White","Female"
"2831","Constable","Justice of the Peace Ward  1","Charenton","70523","LA","ST. MARY","Donald ""Sonny"" Compton","Democrat","Local","Law Enforcement","Constable","White","Male"
"2832","Constable","Justice of the Peace Ward  2","Franklin","70538-7542","LA","ST. MARY","Sommer Francis",NA,"Local","Law Enforcement","Constable",NA,NA
"2833","Constable","Justice of the Peace Ward  4","Garden City","70540","LA","ST. MARY","Larry ""Teddy"" Deslatte, III","Other","Local","Law Enforcement","Constable","White","Male"
"2834","Constable","Justice of the Peace Ward  5","Patterson","70392","LA","ST. MARY","James P. Carinhas","Democrat","Local","Law Enforcement","Constable","White","Male"
"2835","Constable","Justice of the Peace Ward  7","Jeanerette","70544-8540","LA","ST. MARY","Edward Patrick, Jr.","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2836","Constable","Justice of the Peace Ward  8","Berwick","70342","LA","ST. MARY","Jonathan ""J.P."" Henry","Republican","Local","Law Enforcement","Constable","White","Male"
"2837","Constable","Justice of the Peace Ward  9","Amelia","70340","LA","ST. MARY","""Joey"" Foret","Democrat","Local","Law Enforcement","Constable","White","Male"
"2838","Constable","Justice of the Peace Ward 10","Baldwin","70514","LA","ST. MARY","Elease G. Jackson","Democrat","Local","Law Enforcement","Constable","Black or African American","Female"
"2839","Constable","Justice of the Peace Ward  1","Covington","70435","LA","ST. TAMMANY","P. Wallace ""Wally"" Gottschalk","Republican","Local","Law Enforcement","Constable","White","Male"
"2840","Constable","Justice of the Peace Ward  1","Covington","70435","LA","ST. TAMMANY","Blake Pennington","Republican","Local","Law Enforcement","Constable","White","Male"
"2841","Constable","Justice of the Peace Ward  2","Covington","70435","LA","ST. TAMMANY","Gregory ""Killer"" Galloway","Republican","Local","Law Enforcement","Constable","White","Male"
"2842","Constable","Justice of the Peace Ward  2","Covington","70435","LA","ST. TAMMANY","John Thomas Mathies, III","Republican","Local","Law Enforcement","Constable","White","Male"
"2843","Constable","Justice of the Peace Ward  3","Covington","70435","LA","ST. TAMMANY","Richard ""Rick"" Moore","Republican","Local","Law Enforcement","Constable","White","Male"
"2844","Constable","Justice of the Peace Ward  3","Covington","70435","LA","ST. TAMMANY","Tasso ""Tiger"" Taylor, III","Republican","Local","Law Enforcement","Constable","White","Male"
"2845","Constable","Justice of the Peace Ward  4","Mandeville","70471","LA","ST. TAMMANY","""Eddie"" Schmidt","Republican","Local","Law Enforcement","Constable","White","Male"
"2846","Constable","Justice of the Peace Ward  4","Mandeville","70471","LA","ST. TAMMANY","Darryl M. Taylor","Other","Local","Law Enforcement","Constable","White","Male"
"2847","Constable","Justice of the Peace Ward  5","Bush","70431","LA","ST. TAMMANY","Todd Kraft","Republican","Local","Law Enforcement","Constable","White","Male"
"2848","Constable","Justice of the Peace Ward  6","Pearl River","70452","LA","ST. TAMMANY","James ""Jimmy"" Howell","Republican","Local","Law Enforcement","Constable","White","Male"
"2849","Constable","Justice of the Peace Ward  7","Lacombe","70445","LA","ST. TAMMANY","Gregory Chabreck","Republican","Local","Law Enforcement","Constable","White","Male"
"2850","Constable","Justice of the Peace Ward  8","Pearl River","70452","LA","ST. TAMMANY","Floyd Trascher","Republican","Local","Law Enforcement","Constable","White","Male"
"2851","Constable","Justice of the Peace Ward 10","Abita Springs","70420","LA","ST. TAMMANY","Matthew J. King","Republican","Local","Law Enforcement","Constable","White","Male"
"2852","Constable","Justice of the Peace Ward 10","Abita Springs","70420","LA","ST. TAMMANY","Julie Lien","Other","Local","Law Enforcement","Constable","White","Female"
"2853","Constable","Justice of the Peace Ward 1","Kentwood","70444","LA","TANGIPAHOA","Lemmie Chapman, III","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2854","Constable","Justice of the Peace Ward 2","Kentwood","70444","LA","TANGIPAHOA","Dickie R. Blades","Democrat","Local","Law Enforcement","Constable","White","Male"
"2855","Constable","Justice of the Peace Ward 3","Amite","70422","LA","TANGIPAHOA","Anthony ""Butch"" Robinson","Democrat","Local","Law Enforcement","Constable","Black or African American","Male"
"2856","Constable","Justice of the Peace Ward 4","Amite","70422","LA","TANGIPAHOA","Teresa Grace Holden","Democrat","Local","Law Enforcement","Constable","White","Female"
"2857","Constable","Justice of the Peace Ward 5","Loranger","70446","LA","TANGIPAHOA","Louis ""Buddy"" Easley","Democrat","Local","Law Enforcement","Constable","White","Male"
"2858","Constable","Justice of the Peace Ward 6","Independence","70443","LA","TANGIPAHOA","Joseph ""Joe"" Sinagra","Democrat","Local","Law Enforcement","Constable","White","Male"
"2859","Constable","Justice of the Peace Ward 8","Ponchatoula","70454","LA","TANGIPAHOA","""Don"" Marshall","Republican","Local","Law Enforcement","Constable","White","Male"
